Laglista,Section Number,Section Name,Index,SFS Number,Amendment SFS,Document Name,Notisum Comment,Summary (Så här påverkas vi),Compliance,Link
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","MSBFS 2018:8","","BeteckningMSBFS 2018:8Myndigheten för samhällsskydd och beredskaps föreskrifter om informationssäker","Denna författning reglerar informationssäkerhet för leverantörer av samhällsviktiga tjänster. Den betonar ett systematiskt och riskbaserat tillvägagångssätt för att hantera informationssäkerhet, inklusive hantering av nätverk och informationssystem som utkontrakteras till externa aktörer. Leverantörer ska använda standarder som SS-EN ISO/IEC 27001:2017 och SS-EN ISO/IEC 27002:2017, eller motsvarande, för att säkerställa att informationssäkerhetsarbetet är effektivt och anpassat till organisationens behov. Dokumentation och regelbunden utvärdering av säkerhetsåtgärder är obligatoriska. Interna regler ska säkerställa att medarbetare har nödvändig kunskap om säker informationshantering. Vid incidenter ska leverantörer ha rutiner för att minimera konsekvenser och säkerställa kontinuitet i tjänsterna. Dokumentet innehåller även allmänna råd som kompletterar föreskrifterna.","Vi ska arbeta systematiskt och riskbaserat med informationssäkerhet i våra samhällsviktiga tjänster. Det innebär att vi ska tillämpa etablerade standarder som SS-EN ISO/IEC 27001 och 27002, eller motsvarande, samt säkerställa att våra nätverk och informationssystem ? även de som hanteras av externa aktörer ? är skyddade.Vi ska dokumentera och regelbundet utvärdera våra säkerhetsåtgärder, ha interna regler och rutiner som främjar säker informationshantering, samt vara förberedda på att hantera incidenter för att upprätthålla kontinuiteten i våra tjänster.","","https://www.notisum.se/rn/document/?id=MSBB8008"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","MSBFS 2018:11","","BeteckningMSBFS 2018:11Myndigheten för samhällsskydd och beredskaps föreskrifter om frivillig rappor","Förordningen reglerar frivillig rapportering av incidenter i tjänster viktiga för samhällets funktionalitet. Den riktar sig till aktörer som inte omfattas av lagen om informationssäkerhet för samhällsviktiga och digitala tjänster. Rapporteringen ska ske utan onödigt dröjsmål och innehålla detaljer om incidenten, dess påverkan, och åtgärder för att minimera konsekvenserna. Aktörer har möjlighet att korrigera felaktiga uppgifter inom ett år. Allmänna råd, som inte är tvingande, ger ytterligare vägledning för tillämpningen av föreskrifterna.","Vi kan frivilligt rapportera it-incidenter som påverkar tjänster av betydelse för samhällets funktionalitet, även om vi inte omfattas av lagen om informationssäkerhet för samhällsviktiga och digitala tjänster.Rapporteringen ska ske utan onödigt dröjsmål och innehålla uppgifter om incidentens påverkan samt vidtagna åtgärder.Vi har möjlighet att rätta eventuella fel i rapporten inom ett år. De allmänna råd som hör till föreskrifterna kan ge vägledning i hur vi praktiskt ska hantera rapporteringen.","","https://www.notisum.se/rn/document/?id=MSBB8011"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","MSBFS 2018:10","","BeteckningMSBFS 2018:10Myndigheten för samhällsskydd och beredskaps föreskrifter om rapportering av ","Föreskrifterna reglerar rapportering av incidenter för leverantörer av digitala tjänster. Leverantörer måste ansöka om ett incidentrapporteringskonto hos Myndigheten för samhällsskydd och beredskap och rapportera incidenter inom specificerade tidsramar. Rapporteringen ska innehålla detaljer om incidenten, dess påverkan, och åtgärder för att minimera följderna. Om felaktiga uppgifter lämnas, ska dessa korrigeras utan dröjsmål. Allmänna råd kompletterar föreskrifterna och ger rekommendationer för tillämpning, men är inte tvingande.","Vi ska rapportera incidenter som påverkar våra digitala tjänster enligt MSB:s föreskrifter.Rapporten ska innehålla information om incidentens omfattning, påverkan och de åtgärder vi har vidtagit. Om felaktiga uppgifter har lämnats ska vi korrigera dem utan dröjsmål.","","https://www.notisum.se/rn/document/?id=MSBB8010"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","MSBFS 2018:9","","BeteckningMSBFS 2018:9Myndigheten för samhällsskydd och beredskaps föreskrifter om rapportering av i","Föreskrifterna från Myndigheten för samhällsskydd och beredskap reglerar rapportering av incidenter för leverantörer av samhällsviktiga tjänster. De omfattar sektorer som energi, transport, bankverksamhet, finansmarknadsinfrastruktur, hälso- och sjukvård, dricksvatten och digital infrastruktur. Incidenter som påverkar kontinuiteten i dessa tjänster måste rapporteras inom specifika tidsramar och innehålla detaljerad information om händelsen, dess påverkan och åtgärder för att minimera konsekvenserna. Leverantörer måste också uppdatera felaktiga uppgifter utan dröjsmål.","Vi är skyldiga att rapportera allvarliga incidenter som påverkar kontinuiteten i våra samhällsviktiga tjänster, i enlighet med MSB:s föreskrifter.Rapporteringen ska ske inom fastställda tidsramar och innehålla detaljerad information om incidentens påverkan samt de åtgärder vi har vidtagit för att hantera den. Om vi har lämnat felaktiga uppgifter ska dessa korrigeras utan dröjsmål.","","https://www.notisum.se/rn/document/?id=MSBB8009"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","STEMFS 2021:3","","BeteckningSTEMFS 2021:3Statens energimyndighets föreskrifter och allmänna råd om riskanalys och säke","Föreskrifterna riktar sig till leverantörer av samhällsviktiga tjänster inom energisektorn och reglerar riskanalys och säkerhetsåtgärder för nätverk och informationssystem. Leverantörer ska genomföra riskanalyser för att identifiera och värdera risker, samt dokumentera analysmetoder och resultat. Informationssäkerhetskrav inkluderar dokumentation av processer, loggning av transaktioner, och upprättande av systemförteckningar för IT och OT. Säkerhetsåtgärder ska införas för att hantera identifierade risker och uppfylla informationssäkerhetskrav, med prioritering baserad på riskvärdering och tillgängliga resurser. Undantag från föreskrifterna kan medges av Statens energimyndighet vid särskilda skäl.","Vi ska genomföra och dokumentera riskanalyser för våra nätverk och informationssystem inom energisektorn.Det innebär att vi identifierar och värderar risker, dokumenterar analysmetoder och resultat samt upprättar systemförteckningar för både IT och OT.Vi ska logga relevanta transaktioner och införa säkerhetsåtgärder baserade på riskvärdering och tillgängliga resurser.Våra processer ska dokumenteras och vår informationssäkerhet ska uppfylla föreskrivna krav.","","https://www.notisum.se/rn/document/?id=STMC1003"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","PTSFS 2022:11","","BeteckningPTSFS 2022:11Post- och telestyrelsens föreskrifter och allmänna råd om säkerhet i nät och ","Föreskrifterna reglerar säkerhetsåtgärder för nät och tjänster inom elektronisk kommunikation. De omfattar tekniska och organisatoriska åtgärder för att hantera säkerhetsrisker, rapportering av säkerhetsincidenter, och informationsskyldighet vid hot. Tillhandahållare måste identifiera och dokumentera sina tillgångar och genomföra regelbundna riskanalyser. Riskhantering ska inkludera beslut om att undvika, reducera eller acceptera risker. Åtkomst till uppgifter ska begränsas till behöriga, och skyddsåtgärder mot oavsiktlig utplåning eller förlust av data ska implementeras. Kryptering är obligatorisk för dataöverföring via internet. Redundans och reservkraftsystem krävs för att säkerställa kontinuitet vid störningar. Incidenter ska rapporteras till Post- och telestyrelsen, och kontinuitetsplaner ska upprättas för att hantera säkerhetsincidenter.","Vi ska vidta tekniska och organisatoriska säkerhetsåtgärder för att skydda våra nät och tjänster inom elektronisk kommunikation. Det innebär att vi ska identifiera våra tillgångar, genomföra regelbundna riskanalyser och dokumentera hur vi hanterar säkerhetsrisker.Vi måste begränsa åtkomst till behöriga, skydda mot dataförlust och använda kryptering vid dataöverföring via internet.Vi ska ha redundans, reservkraft och kontinuitetsplaner för att hantera störningar.Säkerhetsincidenter ska rapporteras till Post- och telestyrelsen enligt föreskrifterna.","","https://www.notisum.se/rn/document/?id=PTSC2011"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","(EU) 1689/2024","","Beteckning(EU) 1689/202432024R1689R(01)Europaparlamentets och rådets förordning (EU) 2024/1689 av de","Syftet med denna förordning är att förbättra den inre marknadens funktion och främja spridningen av människocentrerad och pålitlig artificiell intelligens (AI) samtidigt som man säkerställer en hög hälsoskyddsnivå, säkerhet och de grundläggande rättigheter som är inskrivna i stadgan, inklusive demokrati, rättsstatsprincipen och miljöskydd, mot de skadliga effekterna av AI-system i unionen och stödja innovation.Det finns ett särskilt fokus på högrisk AI-system, och specifika krav för det.Den tekniska dokumentationen för ett högrisk AI-system upprättas innan systemet släpps ut på marknaden eller tas i bruk och hålls uppdaterad.Kommissionen kan ålägga leverantörer av AI-modeller för allmänt bruk böter på upp till 3 % av deras årliga totala globala omsättning under föregående räkenskapsår eller 15 000 000 EUR, beroende på vilket som är högst, när kommissionen finner att leverantören avsiktligt eller av oaktsamhet:a) har brutit mot de relevanta bestämmelserna i denna förordningb) har underlåtit att efterkomma en begäran om en handling eller information enligt artikel 91 eller har lämnat felaktig, ofullständig eller vilseledande information;c) har underlåtit att följa en åtgärd som begärts enligt artikel 93d) har underlåtit att ge kommissionen tillgång till den allmänna AI-modellen eller den allmänna AI-modellen med systemrisk för en utvärdering enligt artikel 92.Det finns också ändringar i flera regelverk gällande artificiell intelligens. Ändringen behandlar kraven i kapitel III, paragraf 2 i denna förordning.","Förordningen ställer krav på hur AI-system får utvecklas, användas och tillhandahållas. Använder vi eller utvecklar vi AI, särskilt högrisk AI-system, måste vi ha teknisk dokumentation, riskbedömningar och rutiner för övervakning och regelefterlevnad. Systemen ska uppfylla krav på säkerhet, transparens och skydd för grundläggande rättigheter. Om vi tillhandahåller allmänna AI-modeller gäller särskilda regler, inklusive skyldighet att lämna information till kommissionen. Brister kan leda till mycket höga sanktionsavgifter.","","https://www.notisum.se/rn/document/?id=CELEX32024R1689"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","SFS 2018:585","SFS 2023:390","Säkerhetsskyddslag (2018:585)","Säkerhetsskyddslagen (2018:585) reglerar säkerhetsskydd för verksamheter av betydelse för Sveriges säkerhet. Lagen omfattar skydd mot spioneri, sabotage och terroristbrott samt hantering av säkerhetsklassificerade uppgifter. Verksamhetsutövare måste genomföra säkerhetsskyddsanalyser och ingå säkerhetsskyddsavtal vid upphandlingar eller samarbeten som kan ge tillgång till känsliga uppgifter. Säkerhetsprövning krävs för personer som deltar i säkerhetskänslig verksamhet, och registerkontroll kan utföras vid behov.","Vi är skyldiga att genomföra säkerhetsskyddsanalyser och vid behov ingå säkerhetsskyddsavtal vid upphandlingar eller samarbeten där känsliga uppgifter kan bli tillgängliga.Vi ska skydda verksamheten mot spioneri, sabotage och andra hot, samt säkerställa korrekt hantering av säkerhetsklassificerade uppgifter.Säkerhetsprövning av personal krävs när någon ska delta i säkerhetskänslig verksamhet, och vi kan behöva begära registerkontroll.","","https://www.notisum.se/rn/document/?id=20180585"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","SFS 2020:172","SFS 2025:127","Förordning (2020:172)","Förordningen kompletterar lagen om hemlig dataavläsning. Den reglerar hur otillåten tilläggsinformation ska hanteras och rapporteras till åklagaren och Säkerhets- och integritetsskyddsnämnden. Företag inom elektronisk kommunikation är skyldiga att bistå myndigheter med teknisk information och metoder för att möjliggöra hemlig dataavläsning.","Vi är skyldiga att bistå behöriga myndigheter med teknisk information och metoder som möjliggör hemlig dataavläsning, om vår verksamhet omfattas av lagen. Det innebär att vi ska kunna tillhandahålla den information som krävs för att genomföra åtgärden, samt hantera eventuell otillåten tilläggsinformation i enlighet med förordningens krav.Vi ska rapportera sådan information till åklagare och Säkerhets- och integritetsskyddsnämnden.Vår medverkan ska ske enligt fastställda regler och med hänsyn till rättssäkerhet och integritet.","","https://www.notisum.se/rn/document/?id=20200172"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","SFS 2021:955","SFS 2025:1231","Säkerhetsskyddsförordning (2021:955)","Förordningen kompletterar säkerhetsskyddslagen och gäller inte för riksdagen och dess myndigheter. Den fastställer krav på säkerhetsskyddsanalys, behörighet för tillgång till säkerhetskänslig verksamhet, och anmälan vid säkerhetshotande händelser. Informationssystem som hanterar säkerhetsskyddsklassificerade uppgifter måste genomgå säkerhetsskyddsbedömning och godkännas innan drift. Försvarsmakten och Säkerhetspolisen har rätt att meddela föreskrifter inom sina tillsynsområden. Säkerhetsskyddsavtal krävs vid internationellt samarbete. Tillsynsmyndigheter ansvarar för att övervaka säkerhetsskyddet inom sina områden.","Vi måste följa krav på säkerhetsskyddsanalys och säkerställa att endast behöriga personer får tillgång till säkerhetskänslig information eller verksamhet. Om vi hanterar säkerhetsskyddsklassificerade uppgifter i våra system krävs särskild bedömning och godkännande innan systemen tas i drift. Vi ska även anmäla händelser som kan innebära ett hot mot säkerheten, och vi kan bli föremål för tillsyn av ansvarig myndighet. Vid samverkan med internationella aktörer kan säkerhetsskyddsavtal krävas.","","https://www.notisum.se/rn/document/?id=20210955"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","PMFS 2022:1","","BeteckningPMFS 2022:1Säkerhetspolisens föreskrifter om säkerhetsskyddDokumentet fastställer föreskri","Dokumentet fastställer föreskrifter för säkerhetsskydd som riktar sig till organisationer och företag som hanterar känslig information. Det betonar vikten av att implementera säkerhetsåtgärder för att skydda mot obehörig åtkomst och informationsläckage. Föreskrifterna inkluderar krav på riskbedömning, säkerhetsplanering och utbildning av personal. Vidare specificeras att säkerhetsskyddet ska anpassas efter verksamhetens art och omfattning.","Vi måste bedriva ett systematiskt säkerhetsskyddsarbete eftersom vi hanterar information som kan vara av betydelse för Sveriges säkerhet. Det innebär att vi ska genomföra riskbedömningar, upprätta säkerhetsskyddsplaner och utbilda personal i hur vi skyddar känslig information och verksamhet mot obehörig åtkomst och läckage. Säkerhetsskyddet ska vara anpassat efter verksamhetens omfattning och de risker som identifieras i vår analys.","","https://www.notisum.se/rn/document/?id=RPSC2001"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","SvKFS 2022:1","","BeteckningSvKFS 2022:1Affärsverket svenska kraftnäts föreskrifter om säkerhetsskyddFöreskrifterna fr","Föreskrifterna från Affärsverket svenska kraftnät reglerar säkerhetsskydd för verksamhetsutövare inom elförsörjning och dammanläggningar. De kräver att verksamhetsutövare anmäler säkerhetskänslig verksamhet, utser säkerhetsskyddschef, och hanterar registerkontroller enligt anvisningar från Svenska kraftnät. Vidare ska verksamhetsutövare anmäla avsikt att ingå säkerhetsskyddsavtal och behov av samråd vid överlåtelser av aktier eller andelar i säkerhetskänslig verksamhet. Undantag från föreskrifterna kan medges av Svenska kraftnät vid särskilda skäl.","Vi ska anmäla vår verksamheten till Svenska kraftnät, utse en säkerhetsskyddschef och hantera registerkontroller enligt gällande anvisningar.Vi är också skyldiga att anmäla när vi avser att ingå säkerhetsskyddsavtal samt att samråda vid överlåtelser av aktier eller andelar i säkerhetskänslig verksamhet.","","https://www.notisum.se/rn/document/?id=SFTC2001"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","TSFS 2022:76","","BeteckningTSFS 2022:76Transportstyrelsens föreskrifter om säkerhetsskyddFöreskrifterna kompletterar ","Föreskrifterna kompletterar tidigare regler om säkerhetsskydd och riktar sig till enskilda verksamhetsutövare inom områden som vägtrafik, sjöfart, spårbunden trafik, civil och militär luftfart. De reglerar anmälningar om säkerhetskänslig verksamhet, utseende av säkerhetsskyddschef och signalskyddschef, samt ansökningar om placering i säkerhetsklass och registerkontroll. Föreskrifterna ställer krav på anmälan vid ingående och upphörande av säkerhetsskyddsavtal samt vid samråd vid överlåtelse av säkerhetskänslig verksamhet eller aktier. Transportstyrelsen kan medge undantag från dessa föreskrifter.","Vi är skyldiga att anmäla vår verksamheten till Transportstyrelsen, utse en säkerhetsskyddschef och en signalskyddschef samt ansöka om placering i säkerhetsklass och genomföra registerkontroller där det krävs.Vi ska också anmäla när vi ingår eller avslutar säkerhetsskyddsavtal och samråda vid överlåtelser av verksamhet eller aktier.","","https://www.notisum.se/rn/document/?id=TSFC2076"
"Informationssäkerhet Sverige","05","Sektorsspecifika krav och finansiell motståndskraft","","2022/2555/EU","","Beteckning2022/2555/EU32022L2555R(05)Europaparlamentets och rådets direktiv (EU) 2022/2555 av den 14","Direktivet syftar till att etablera en hög gemensam cybersäkerhetsnivå inom EU för att förbättra den inre marknadens funktion. Medlemsstaterna ska anta nationella cybersäkerhetsstrategier och utse behöriga myndigheter samt CSIRT-enheter. Väsentliga och viktiga entiteter, inklusive medelstora företag och leverantörer av kritiska tjänster, omfattas av specifika riskhanteringsåtgärder och rapporteringsskyldigheter. Harmonisering av cybersäkerhetskrav är nödvändig för att minska kostnader och underlätta gränsöverskridande verksamhet. Samarbetet och informationsutbytet mellan medlemsstaterna och relevanta aktörer är centralt. Små och medelstora företag ska få stöd för att hantera cybersäkerhetsutmaningar. Medlemsstaterna ska säkerställa att behöriga myndigheter har tillräckliga resurser och att tillsynen är effektiv. Det finns bestämmelser för att hantera överträdelser av cybersäkerhetskrav, inklusive administrativa sanktionsavgifter.","Vi omfattas av NIS 2-direktivet som väsentlig eller viktig aktör och ska vidta åtgärder för att uppnå en hög nivå av cybersäkerhet. Det innebär att vi ska arbeta systematiskt med riskhantering, ha interna rutiner för cybersäkerhet, och rapportera incidenter till behöriga myndigheter.Vi ska bidra till informationsutbyte och samarbete på nationell och EU-nivå.Vår verksamhet ska följa de harmoniserade cybersäkerhetskrav som fastställs i lagstiftningen, och vi kan omfattas av tillsyn och sanktionsavgifter vid bristande efterlevnad.","","https://www.notisum.se/rn/document/?id=322L2555"
