# Complete SFS list from Riksdagen API
# Fetched: 2025-12-11T20:09:49.063Z
# API reported: 11397, Unique dok_ids: 11397, Unique SFS: 11265
# Format: SFS\tDATE\tDOK_ID\tTITLE
#
	1867-05-08	c0s0riksb	för Riksbankens styrelse oeh förvaltning, utfärdad! den 8 Maj 1867
1898:50 s.2	1898-05-27	sfs-1898-50 s.2	Skrivelse (1898:50 s.2) till befallningshavanden i Blekinge län angående rätt att vid länets kust idka ålfiske med fast fiskeredskap
1898:64 s.10	1898-07-01	sfs-1898-64 s.10	Lag (1898:64 s.10) om boskillnad
1899:12 s.9	1899-03-06	sfs-1899-12 s.9	Lag (1899:12 s. 9) om verkställighet i visst fall av utländsk domstols beslut
1899:bih. 25	1899-02-24	sfs-1899-bih. 25	Skrivelsen (1899:bih. 25) angående sättet för godkännande av föreningar angående gränserna för enskilda tillhöriga, å kronans mark belägna s.k. ströängar
1899:bih. 40 s. 3	1899-05-19	sfs-1899-bih. 40 s. 3	Kungl. Maj:ts Resolution (1899:bih.40s.1) angående rättighet för angliknska kyrkans prästerskap i allmänhet att med laga verkan förrätta vigsel här i riket;
1900:63 s.25	1900-06-29	sfs-1900-63 s.25	Stadga (1900:63 s.25) med särskilda bestämmelser angående utdelning genom Svenska Akademien av pris från Nobelstiftelsen m.m.
1901:bih. 56 s. 1	1901-05-31	sfs-1901-bih. 56 s. 1	Reglemente (1901:bih. 56 s.1) för August Abrahamsons stiftelse
1902:71 s.1	1902-06-27	sfs-1902-71 s.1	Lag (1902:71 s.1) innefattande vissa bestämmelser om elektriska anläggningar
1904:12 s.3	1904-04-30	sfs-1904-12 s.3	Kungörelse (1904:12 s.3) angående vad till svenska handelns och sjöfartens betryggande under krig mellan främmande makter bör iakttagas m.m.
1904:26 s.1	1904-07-08	sfs-1904-26 s.1	Lag (1904:26 s.1) om vissa internationella rättsförhållanden rörande äktenskap och förmynderskap
1904:48 s.1	1904-09-30	sfs-1904-48 s.1	Lag (1904:48 s.1) om samäganderätt
1904:48s1	1904-09-30	sfs-1904-48s1	Lag (1904:48 s.1) om samäganderätt
1904:60 s. 1	1904-10-28	sfs-1904-60 s. 1	Kungl.Maj:ts nådiga reglemente (1904:60) för begagnande af Väddö kanal
1905:31 s.1	1905-05-25	sfs-1905-31 s.1	Lag (1905:31 s.1) rörande afgäld från afsöndrad lägenhet;
1905:38 s.1	1973-03-16	sfs-1905-38 s.1	Lag (1905:38 s.1) om köp och byte av lös egendom
1906:12 s. 1	1906-03-09	sfs-1906-12 s. 1	Kungl. Maj:ts förnyade nådiga stadgar (1906:12 s. 1) för dess Vetenskaps- och Vitterhets-Samhälle i Göteborg
1906:60 s. 1	1906-07-06	sfs-1906-60 s. 1	Kungl. Maj:ts förnyade stadgar (1906:60 s. 1) för vetenskapssocieteten i Uppsala
1907:15 s.1	1907-04-19	sfs-1907-15 s.1	Lag (1907:15 s.1) angående avlösning av avgäld från avsöndrad lägenhet
1907:36 s. 22	1907-06-14	sfs-1907-36 s. 22	Lag (1907:36 s.22) om vad iakttagas skall i avseende å införande av lagen om nyttjanderätt till fast egendom
1908:128 s.1	1908-10-23	sfs-1908-128 s.1	Lag (1908:128 s.1) om bevillningsavgifter för särskilda förmåner och rättigheter;
1908:74 s.1	1908-06-13	sfs-1908-74 s.1	Förordning (1908:74 s.1) angående jordregister
1909:24 s.1	1909-04-30	sfs-1909-24 s.1	Kungörelse (1909:24 s.1) angående delgivning av handling på begäran av utländsk myndighet
1909:30	1909-04-21	sfs-1909-30	Internationell konvention (1909:30) angående vissa till civilprocessen hörande ämnen av internationell natur
1909:53 s. 7	1909-06-05	sfs-1909-53 s. 7	Lag (1909:53 s. 7) angående marks avstående för nomadlapparnas behov vid avvittring ovan odlingsgränsen
1909:bih. 29 s.1	1909-05-27	sfs-1909-bih. 29 s.1	Resolution (1909:bih. 29 s.1) angående fastställande av grundstadgar för Handelshögskolan i Stockholm
1910:103 s.1	1910-09-30	sfs-1910-103 s.1	Förordning (1910:103 s.1) angående behörighet att kyrkobokföras i icke territoriell församling av svenska kyrkan
1910:13	1910-02-11	sfs-1910-13	Kungörelse (1910:13) angående viss kostnad för delgivning av handling på begäran av tysk myndighet
1910:136	1910-11-25	sfs-1910-136	Skrivelse (1910:136) angående fastställande av gränserna för Sonfjällets nationalpark i Jämtlands län
1910:30 s.1	1910-01-21	sfs-1910-30 s.1	Skrivelse (1910:30 s. 1) till domänstyrelsen angående fastställande av gränserna för vissa nationalparker
1910:72 s.1	1910-07-04	sfs-1910-72 s.1	Kungörelse (1910:72 s.1) angående grunder för förvaltningen av vissa kronan tillhöriga vattenfall
1911:104	1911-10-06	sfs-1911-104	Stadgar (1911:104) för Carnegiestiftelsen
1911:35	1911-05-05	sfs-1911-35	Skrivelse (1911:35) angående fastställande av gränserna för Hamra nationalpark i Gävleborgs län
1911:53 s.1	1911-06-22	sfs-1911-53 s.1	Lag (1911:53 s. 1) om järnvägsaktiebolag
1911:55	1911-06-22	sfs-1911-55	Lag (1911:55) om ekonomiska föreningar
1912:277	1912-11-08	sfs-1912-277	Lag (1912:277) om avlösning av vissa frälseräntor
1912:315	1912-11-15	sfs-1912-315	Brevet (1912:315) angående rätt för den mindre bemedlade ortsbefolkningen att å statens skogar inom Västerbottens och Norrbottens län taga stubbar för tjärbränning
1912:360	1912-11-22	sfs-1912-360	Kungl. Maj:ts Skrivelse (1912:360) till kommerskollegium angående förändrade bestämmelser i avseende på berättelserna om bergshanteringen samt om industri
1912:69	1912-06-01	sfs-1912-69	Lag (1912:69) om vissa internationella rättsförhållanden rörande äktenskaps rättsverkningar
1913:146	1913-06-13	sfs-1913-146	Skrivelse (1913:146) angående Peljekaise nationalpark i Arjeplogs socken av Norrbottens län
1913:160	1913-06-04	sfs-1913-160	Lag (1913:160) om ersättning i vissa fall av allmänna medel till vittnen i mål som avses i gällande lag angående förbud mot införsel till riket av varor med oriktig ursprungsbeteckning
1913:380	1913-12-31	sfs-1913-380	Kungörelse (1913:380) om rätt för den som är bosatt i utlandet att giva eller medverka i offentlig föreställning m.m. i Sverige
1913:45	1913-04-25	sfs-1913-45	Brevet (1912:315) angående rätt för den mindre bemedlade ortsbefolkningen att å statens skogar inom Västerbottens och Norrbottens län taga stubbar för tjärbränning
1914:45	1914-04-18	sfs-1914-45	Lag (1914:45) om kommission
1915:187	1915-06-11	sfs-1915-187	Lag (1915:187) angående grunder för upplåtelse av vissa kronan tillhöriga vattenfall och strömfall
1915:218	1915-06-11	sfs-1915-218	Lag (1915:218) om avtal och andra rättshandlingar på förmögenhetsrättens område
1915:288	1915-06-18	sfs-1915-288	Kungörelse (1915:288) angående förbud att utan särskilt tillstånd framdraga enskild telegraf-, telefon- eller annan svagströmsledning över riksgränsen;
1916:149	1916-05-09	sfs-1916-149	Kungörelse (1916:149) angående vad militär personal i vissa fall har att iakttaga vid upprätthållande av allmän ordning m.m.;
1916:338	1916-07-03	sfs-1916-338	Kungörelse (1916:338) angående sättet för skriftväxling mellan domstolar, civila, militära och ecklesiastika ämbetsmyndigheter samt ämbets- och tjänstemän i tjänsten rörande ärenden;
1916:599	1916-12-15	sfs-1916-599	Kungl. Maj:ts kungörelse (1916:599) angående auktoriserade handelskamrar
1917:250	1917-06-05	sfs-1917-250	Kungörelse (1917:250) angående ströängars utbytande mot annan mark
1917:281	1917-05-12	sfs-1917-281	Förordning (1917:281) med närmare föreskrifter om fastighetsregister för stad
1917:283	1917-05-12	sfs-1917-283	Kungörelse (1917:283) angående uppgifter för anteckning i fastighetsregister av vissa beslut rörande avgälder m.m.;
1918:1080	1918-12-31	sfs-1918-1080	Kungl. Maj:ts instruktion (1918:1080) för kungl. och Hvitfeldtska stipendieinrättningen
1918:163	1918-04-02	sfs-1918-163	Lag (1918:163) med vissa bestämmelser om sjöfynd
1918:372	1918-06-11	sfs-1918-372	Kungörelse (1918:372) angående utläggande av statsgruvefält vid Liikavaara i Norrbottens län;
1918:399	1918-06-20	sfs-1918-399	Lag (1918:399) om förbud mot utsläppande av tjur eller hingst å samfälld betesmark
1918:631	1918-06-14	sfs-1918-631	Skrivelse (1918:631) angående avsättande såsom nationalpark av visst område av Dalby kronopark i Malmöhus län
1918:645	1918-08-02	sfs-1918-645	Kungörelse (1918:645) angående nummerbeteckning i fastighetsregister för stad m.m
1918:925	1918-11-29	sfs-1918-925	Stadgar (1918:925) för Längmanska kulturfonden
1919:426	1919-06-19	sfs-1919-426	Lag (1919:426) om flottning i allmän flottled
1919:641	1919-09-26	sfs-1919-641	Skrivelse (1919:641) angående uteslutande från Stora Sjöfallets nationalpark av vissa områden m. m.
1919:821	1919-12-05	sfs-1919-821	Kungl. Maj:ts Kungörelse (1919:821) angående jämkning av gränsen mellan yrkesinspektörernas och bergmästarnas samt mellan underinspektörernas vid yrkesinspektionen och kommunala tillsynsorgans befogenhet
1919:878	1919-12-31	sfs-1919-878	Kungl. Maj:ts Reglemente (1919:878) för statens pensionsanstalt;
1920:405	1920-06-11	sfs-1920-405	Giftermålsbalk (1920:405)
1920:406	1920-06-11	sfs-1920-406	Lag (1920:406) om införande av nya giftermålsbalken
1920:677	1920-09-25	sfs-1920-677	Skrivelse (1920:677) till domänstyrelsen angående Vaddetjåkko nationalpark i Norrbottens län
1920:744	1920-11-26	sfs-1920-744	Kungörelse (1920:744) med föreskrifter rörande det offentliga byggnadsväsendet
1920:80	1920-03-05	sfs-1920-80	Cirkulär (1920:80) till länsstyrelserna angående ersättande av kostnader för militärhandräckning för släckning av skogseld;
1920:930	1920-12-17	sfs-1920-930	Kungörelse (1920:930) angående desinfektion av järnvägsvagn, som använts för transport av levande djur
1921:159	1921-04-22	sfs-1921-159	Lag (1921:159) med vissa bestämmelser om förmynderskap för omyndig medlem av det kungliga huset
1921:223	1921-05-14	sfs-1921-223	Fastighetsregisterkommissionens Cirkulär n:r 7 (1921:223) om anlitande av statens reproduktionsanstalt vid anskaffande av kopior av registerkarta;
1921:225	1921-05-13	sfs-1921-225	Konkurslag (1921:225)
1921:226	1921-05-13	sfs-1921-226	Lag (1921:226) om nya konkurslagens införande och vad i avseende därå skall iakttagas
1921:378	1921-06-22	sfs-1921-378	Lag (1921:378) om ströängars indragande till kronan
1921:410	1921-06-10	sfs-1921-410	Kungl. Maj:ts kungörelse (1921:410) angående förhöjning av vissa till i statens tjänst skadade arbetare med flera av statsmedel utgående livräntor m.m.
1921:475	1921-07-07	sfs-1921-475	Kungl. Maj:ts stadgar (1921:475) för kungl. humanistiska vetenskapssamfundet i Lund
1921:536	1921-09-12	sfs-1921-536	Kungörelse (1921:536) angående samarbete i vissa fall mellan statens ämbetsverk
1921:612	1921-05-31	sfs-1921-612	Riksarkivets Cirkulär (1921:612) med anvisningar rörande tilläggsförteckningar över allmänna läroverks arkiv
1921:628	1921-10-28	sfs-1921-628	Kungörelse (1921:628) angående prägel å minnesmynt å två kronor
1921:829	1921-12-31	sfs-1921-829	Kungörelse (1921:829) angående ny översättning av gamla testamentets apokryfiska böcker
1922:133	1922-04-07	sfs-1922-133	Lag (1922:133) om förbud mot utsläppande av bagge å samfälld betesmark
1922:18	1922-01-11	sfs-1922-18	Telegrafstyrelsens Kungörelse (1922:18) angående radiobefordran av telegram;
1922:382	1922-05-26	sfs-1922-382	Lag (1922:382) angående ansvarighet för skada i följd av luftfart
1923:116	1923-05-17	sfs-1923-116	Lag (1923:116) om hundskatt
1923:69	1923-04-06	sfs-1923-69	Kungl. Maj:ts Brev (1923:69) till generalpoststyrelsen angående sättet för delgivning av Kungl. Maj:ts beslut i ärenden rörande tjänstebrevsrätt m.m.
1924:130	1924-05-23	sfs-1924-130	Lag (1924:130) om förvärvande och förlust av svenskt medborgarskap
1924:135	1924-05-16	sfs-1924-135	Förordning (1924:135) om vården av vissa kyrkogårdar i Stockholm
1924:322	1924-06-27	sfs-1924-322	Lag (1924:322) om vård av omyndigs värdehandlingar
1924:323	1924-06-27	sfs-1924-323	Lag (1924:323) om verkan av avtal, som slutits under påverkan av en psykisk störning
1924:423	1924-08-21	sfs-1924-423	Kungörelse (1924:423) angående anmälan om återvinnande av svenskt medborgarskap
1924:455	1924-10-10	sfs-1924-455	Kungörelse (1924:455) angående näringslegitimationsbevis för svenska handelsredande i utlandet
1924:475	1924-11-21	sfs-1924-475	Kungörelse (1924:475) angående meddelanden från domstol om dödförklaringar
1925:379	1925-07-20	sfs-1925-379	Kungörelse (1925:379) om bestridande i vissa fall med allmänna medel av kostnader, förenade med inlösen av under nyttjanderätt upplåtet område m.m.
1925:456	1925-11-21	sfs-1925-456	Lag (1925:456) angående anlitande av kyrkofonden för uppförande av prästgårdar inom vissa delar av Härnösands och Luleå stift
1925:465	1925-11-27	sfs-1925-465	Kungörelse (1925:465) med särskilda bestämmelser om utförsel från riket av spritdrycker och vin
1925:69	1925-03-20	sfs-1925-69	Kungl. Maj:ts resolution (1925:69) på nedan omförmälda ansökning av stadsfullmäktige i Halmstad om provian- teringsfrilagersrätt för nämnda stad
1926:1	1926-01-07	sfs-1926-1	Lag (1926:1) innefattande bestämmelser i anledning av konventionen den 9 maj 1925 mellan Sverige och Finland angående renar i gränsområdena
1926:16	1926-02-05	sfs-1926-16	Skrivelse (1926:16) till vetenskapsakademien angående överlåtelse till kronan samt avsättande till nationalpark av ön Blå Jungfrun i Kalmar sund
1926:183	1926-06-04	sfs-1926-183	Kungl. Maj:ts Kungörelse (1926:183) angående avgifter för in- eller utbetalning i postgirorörelsen för tjänstebrevsberättigade m.fl.
1926:3	1926-01-07	sfs-1926-3	Kungörelse (1926:3) innefattande bestämmelser i anledning av konventionen den maj 1925 mellan Sverige och Finland angående renar i gränsområdena
1926:322	1926-06-18	sfs-1926-322	Lag (1926:322) om rätten till vissa vatten i övre delen av Västerbottens län
1926:327	1926-06-18	sfs-1926-327	Lag (1926:327) om vad iakttagas skall i avseende å införande av lagen om delning av jord å landet
1926:4	1926-01-15	sfs-1926-4	Kungörelse (1926:4) innefattande bestämmelser om tullfrihet i vissa fall i anledning av konventionen den 9 maj 1925 mellan Sverige och Finland angående renar i gränsområdena
1926:8	1926-01-15	sfs-1926-8	Kungörelse (1926:8) angående inskränkning i betesrätt å sådan ohägnad mark inom Älvsborgs län, som skall anses vara till gemensamt mulbete upplåten
1927:184	1927-05-20	sfs-1927-184	/r1/ Kungl. Maj:ts Förordning (1927:184) angående fartygs byggnad och utrustning;
1927:25	1927-03-04	sfs-1927-25	Lag (1927:25) innefattande ändring i gällande stadganden om nattvardsgång
1927:26	1927-03-04	sfs-1927-26	Lag (1927:26) innefattande ändring i gällande stadganden om allmänt skriftermål
1927:28	1927-03-04	sfs-1927-28	Lag (1927:28) innefattande bestämmelser angående högmässogudstjänsts förrättande å annan plats än i kyrka
1927:321	1927-06-27	sfs-1927-321	Lag (1927:321) om utskiftningsskatt
1927:380	1927-10-07	sfs-1927-380	Kungörelse (1927:380) angående stavning av ortnamn i officiella handlingar
1927:437	1927-11-25	sfs-1927-437	Kungl. Maj:ts Kungörelse (1927:437) angående grunder för tillgodogörande av kronans jakträtt;
1927:485	1927-12-16	sfs-1927-485	Förordning (1927:485) om nedsättning av pengar hos myndighet
1927:56	1927-03-24	sfs-1927-56	Lag (1927:56) om nedsättning av pengar hos myndighet
1927:71	1927-04-01	sfs-1927-71	Lag (1927:71) om behörighet för diplomatisk tjänsteman att verkställa konsulär förrättning
1927:73	1927-02-24	sfs-1927-73	Kungörelse (1927:73) angående skyldighet för förvaltande myndighet att i vissa fall underrätta om meddelat beslut;
1927:77	1927-04-08	sfs-1927-77	Lag (1927:77) om försäkringsavtal
1927:78	1927-04-08	sfs-1927-78	Lag (1927:78) angående införande av lagen om försäkringsavtal
1927:79	1927-04-08	sfs-1927-79	Lag (1927:79) om rätt för borgenär till betalning ur ersättning på grund av brandförsäkringsavtal
1927:85	1927-04-08	sfs-1927-85	Lag (1927:85) om dödande av förkommen handling
1928:113	1928-05-04	sfs-1928-113	Kungörelse (1928:113) med vissa bestämmelser angående ryska handelsdelegationens i Stockholm skattskyldighet m.m.
1928:24	1928-01-27	sfs-1928-24	Skrivelse (1928:24) till domänstyrelsen angående fastställande av gränserna för nationalparken å kronoparken Norra Kvill i Kalmar län
1928:280	1928-06-08	sfs-1928-280	Lag (1928:280) angående införande av lagen om arv
1928:281	1928-06-08	sfs-1928-281	Lag (1928:281) om allmänna arvsfonden;
1928:328	1928-08-10	sfs-1928-328	Kungl. Maj:ts Kungörelse (1928:328) angående statsbidrag till byggande, förbättring och underhåll av allmänna hamnar och farleder;
1928:370	1928-09-28	sfs-1928-370	Kommunalskattelag (1928:370)
1928:376	1928-12-02	sfs-1928-376	Lag (1928:376) om skatt på lotterivinster
1928:404	1928-09-28	sfs-1928-404	Kungörlese (1928:404) angående utbetalande av staten påförda utskylder m.m.
1928:409	1928-09-28	sfs-1928-409	Lag (1928:409) angående vad med uppskattning till allmän bevillning av fast egendom i vissa fall skall förstås;
1929:116	1929-05-24	sfs-1929-116	Lag (1929:116) om tillsyn över stiftelser
1929:145	1929-06-14	sfs-1929-145	Lag (1929:145) om skiljemän
1929:147	1929-06-14	sfs-1929-147	Lag (1929:147) om utländska skiljeavtal och skiljedomar
1929:164	1929-06-14	sfs-1929-164	Lag (1929:164) om kronans förmånsrätt för avdikningslån
1929:189	1929-06-27	sfs-1929-189	Kungörelse (1929:189) angående dispotitionen av anslag till bestridande av staten åliggande kommunala och andra utskylder
1929:29	1929-03-07	sfs-1929-29	Brev (1929:29) till generalpostyrelsen angående visst undantag från § 1 förordningen den 9 november 1877 angående förbud mot postbefordran av eldfarliga eller explosiva eller frätande ämnen
1929:296	1929-09-26	sfs-1929-296	Kungörelse (1929:296) angående rätt för administrerande präst till självkommunion i vissa fall
1929:404	1929-12-20	sfs-1929-404	Lag (1929:404) om giltighet här i riket av svensk-norska vattenrättskonventionen av den 11 maj 1929
1929:405	1929-12-20	sfs-1929-405	Lag (1929:405) med vissa föreskrifter angående tillämpningen här i riket av svensk-norska vattenrättskonventionen av den 11 maj 1929
1930:105	1930-04-25	sfs-1930-105	Lag (1930:105) angående införande av lagen om testamente
1930:106	1930-04-30	sfs-1930-106	Lag (1930:106) om vissa rätthandlingar till förmån för ofödda
1930:17	1930-01-31	sfs-1930-17	Brev (1930:17) till Generaltullstyrelsen angående sättet för offentliggörandet av statistisk varuförteckning
1930:173	1930-05-30	sfs-1930-173	Lag (1930:173) om beräkning av lagstadgad tid
1930:217	1930-06-06	sfs-1930-217	Kungörelse (1930:217) med vissa bestämmelser i anledning av lagen om tillsyn över stiftelser den 24 maj 1929 (nr 116);
1930:267	1930-07-03	sfs-1930-267	Lag (1930:267) om bokföring vid enskild järnväg
1930:33	1930-02-21	sfs-1930-33	Förordning (1930:33) angående kunskaper i finska språket såsom befordringsgrund vid tillsättande av vissa tjänstebefattningar
1930:369	1930-10-03	sfs-1930-369	Kungl. Maj:ts Kungörelse (1930:369) med närmare bestämmelser om bokföring vid enskild järnväg
1930:54	1930-03-07	sfs-1930-54	Kungl. Maj:ts Påbud (1930:54) angående reviderad översättning av Luthers lilla katekes
1931:152	1931-05-20	sfs-1931-152	Lag (1931:152) med vissa bestämmelser mot illojal konkurrens
1931:155	1931-05-29	sfs-1931-155	Lag (1931:155) angående rätt för Konungen att meddela bestämmelser om internationella rättsförhållanden rörande äktenskaps rättsverkningar
1931:404	1931-11-20	sfs-1931-404	Skrivelse (1931:404) till domänstyrelsen angående fastställande av gränsen för Töfsingdalens nationalpark i Idre socken av Kopparbergs län
1931:429	1931-12-31	sfs-1931-429	Förordning (1931:429) om vissa internationella rättsförhållanden rörande äktenskap, adoption och förmynderskap
1931:68	1931-03-27	sfs-1931-68	Kungl. Maj:ts Brev (1931:68) till kammarkollegiet och statskontoret angående försäljning i vissa fall av fast egendom, vilken tillfallit allmänna arvsfonden eller ock kronan såsom danaarv
1932:130	1932-05-13	sfs-1932-130	Växellag (1932:130)
1932:131	1932-05-13	sfs-1932-131	Checklag (1932:131)
1932:169	1932-06-03	sfs-1932-169	Lag (1932:169) om uppläggande av nya fastighetsböcker
1932:212	1932-06-17	sfs-1932-212	Lag (1932:212) om betalning på grund av vissa obligationer;
1932:242	1932-06-17	sfs-1932-242	Lag (1932:242) om skyldighet i vissa fall att tillhandahålla förnödenheter m.m. för ordningsmaktens behov
1932:452	1932-09-30	sfs-1932-452	Kungörelse (1932:452) angående prägel å minnesmynt å två kronor
1932:540	1932-12-02	sfs-1932-540	Lag (1932:540) om erkännande och verkställighet av dom som meddelats i Island
1932:55	1932-03-11	sfs-1932-55	Lag (1932:55) om viktmärkning i vissa fall av gods som skall inlastas å fartyg
1932:570	1932-12-09	sfs-1932-570	/r1/ Kungl. Maj:ts Nyttjandeförordning (1932:570);
1933:132	1933-04-07	sfs-1933-132	Brev (1933:132) till Generaltullstyrelsen angående främmande länders anslutning till konventionen den 22 november 1928 angående internationella utställningar
1933:269	1933-06-02	sfs-1933-269	Lag (1933:269) om ägofred
